sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,marker_quantity,index,run_dir,batch_num
12.69,0.71,0.0,13.4,30768.502386617176,7.762447875359192e+19,123848.41986436663,4986504.906114021,5645786.377147182,0.0,0.0004,34.849856,11.420744,True,True,10000,43,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-e9d5264e-ba8c-41cd-962f-7080f97c8c6a,0
11.98,0.3,0.0,12.28,12821.564410557483,7.919758517556103e+19,128408.16446844322,5068402.100889862,5675208.166479568,0.0,0.0,34.849856,11.420744,True,True,1000,36,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-c4663e5a-7065-4777-8428-5606b17fca26,0
25.3,5.5,0.0,30.8,28071.703617375504,7.71570973834826e+19,122454.76192446779,4958585.483506145,5603803.934499005,0.00026,0.00018,34.849856,11.420744,True,True,100000,41,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-43ee762b-96e0-43cd-b177-0e1c2e107146,0
11.85,0.28,0.0,12.13,25636.482059302823,7.484375805004428e+19,112376.24787656066,4805921.44599674,5663968.594135745,0.0,0.0,34.849856,11.420744,True,True,1000,21,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-486bf5bc-1a6e-4f66-8346-f3cb2fea10d4,0
15.21,5.48,0.0,20.68,28834.93083843276,7.686361880327784e+19,121419.49268510591,4940031.199045443,5591687.268805965,0.00022,0.0002,34.849856,11.420744,True,True,100000,38,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-c7d7c0c4-cd52-4294-b4a9-d9ab5b320773,0
14.26,5.47,0.0,19.73,28200.03059165506,7.713727129187834e+19,122463.279617852,4959482.457860917,5579720.328560093,0.00022,0.00016,34.849856,11.420744,True,True,100000,32,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-ab6bd501-3cee-4972-b8ff-209a98e47434,0
12.3,0.36,0.0,12.67,0.0,7.792157177605936e+19,127057.62905294361,4989824.910836243,5504671.617735202,0.0,0.0,34.849856,11.420744,True,True,1000,45,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-2237e0ce-13f2-4112-9d9a-fcefb13fd6b8,0
20.55,0.3,0.0,20.85,64096.39002101738,7.537505568101772e+19,119618.41532701494,4837556.13003703,5525622.122144457,0.0,0.0,34.849856,11.420744,True,True,1000,15,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-e58becf9-a57a-4475-8d27-a6d9e2955507,0
34.22,0.3,0.0,34.52,12819.13531703406,7.656244475261926e+19,116873.7527536079,4912243.594325231,5767789.285987661,0.001996,0.0,34.849856,11.420744,True,True,1000,39,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-64f00647-4194-4355-b8fb-e6d88f5a4b04,0
8.46,0.28,0.0,8.73,12818.797817703049,7.685407831214462e+19,125365.49819410485,4921875.543879482,5674717.450400544,0.0,0.0,34.849856,11.420744,True,True,1000,54,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-ff2adc96-9dae-49a3-9a53-cc9e8990f641,0
14.42,0.77,0.0,15.19,41021.018839532946,7.714456615482828e+19,121593.80737493602,4962043.250274512,5635010.5980419405,0.0006,0.0,34.849856,11.420744,True,True,10000,46,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-ed6e8c21-6030-4a1e-9d59-d141de50d868,0
14.04,5.47,0.0,19.51,28583.037194410703,7.699353622939722e+19,121997.54015610625,4952558.294184875,5584200.763634134,0.00018,0.00014,34.849856,11.420744,True,True,100000,47,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-f8fffb7c-983d-4251-a6a1-1c2e0ad68c41,0
9.14,0.7,0.0,9.84,29466.728394535694,7.751422326775085e+19,123467.70616588958,4970686.843058597,5593990.679825117,0.0002,0.0002,34.849856,11.420744,True,True,10000,55,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-45996fa0-ffbe-40ab-a77a-b18a81fae64d,0
9.63,0.36,0.0,9.99,25639.149877868087,7.835863700194933e+19,122782.6807486971,5044217.3986284565,5572899.289209051,0.0,0.0,34.849856,11.420744,True,True,1000,57,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-07e94f04-6b92-414a-b518-71202d0d1d7f,0
14.63,0.27,0.0,14.9,51288.38713985932,7.823311560925445e+19,124051.360621486,5024513.309852057,5571480.958526452,0.0,0.0,34.849856,11.420744,True,True,1000,48,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-8e2e3327-984d-4cc6-9c9e-0911bd898d54,0
9.57,0.28,0.0,9.86,51269.63062593417,7.637565697124316e+19,123987.96201641645,4894593.909455922,5677404.800364404,0.0,0.0,34.849856,11.420744,True,True,1000,42,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-acb56e48-505f-4772-83bc-dc901c4df912,0
9.31,0.26,0.0,9.57,25635.458221850622,7.857585910678636e+19,129295.23853554399,5022024.128511578,5546665.226327368,0.001996,0.0,34.849856,11.420744,True,True,1000,51,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-14a901ea-2d7b-4f44-93c9-e274d14e66d3,0
