sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
11.27,0.78,0.0,12.05,95472.71692574621,1.097913641476879e+20,150754.9394581875,1442754.9836070242,0.10449101973038129,6009905.769484966,7962705.661333566,0.001797,0.0004,30.835418,10.72135,True,True,790.8502318896353,6.917795069888234,1.3800924643874168,1.0171062127687036,44,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-52ff7f5e-9d37-4b4f-b939-65b1651aa08b,0
8.2,0.75,0.0,8.94,25175.66083527834,4.249330324237181e+19,42181.617476626794,400945.9340722917,0.10520525061371823,3605349.7957536913,4983878.611651085,0.0002,0.0,24.156682,8.599433,True,True,612.2918017208576,9.52891149893403,1.4621822298504412,0.9597204088233412,41,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-51760164-3edb-4f04-918f-dcf4e8878962,0
7.42,0.71,0.0,8.13,88731.41673715683,1.1968793723226323e+20,277124.09822577075,1513477.0016382951,0.18310426780571618,7344840.539922236,8052843.596397851,0.0004,0.0004,38.019432,13.675716,True,True,852.9846775345504,8.151125489920378,1.433952186256647,1.308459223806858,59,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3bcd4d78-8aeb-4992-8cc1-b8fae8121773,0
7.93,0.86,0.0,8.79,378103.5592966801,1.1230471623527734e+20,166779.97655213482,1366316.060709087,0.12206544396878406,8748496.353555592,12734792.9583956,0.0002,0.0,28.948719,10.285745,True,True,959.5802365802228,9.768186016380787,1.3537372355349362,1.0477414507418872,55,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-c8d4b545-eff2-499a-abc6-361f973a66d8,0
7.62,0.72,0.0,8.35,2550.1124578284957,3.1795966620883223e+19,37797.867063741556,281431.34085102944,0.13430582020269438,2575595.6288262303,2825470.3680750513,0.0,0.0,34.801935,10.801732,True,True,518.0230922996998,8.757752840593458,1.126530483365059,1.1621675757691263,49,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-daa17d52-058d-473a-8edc-4318bfc5dfec,0
9.56,0.74,0.0,10.29,195787.96227274556,7.472584554070585e+19,112895.43553782626,841958.6450185241,0.13408667540356736,6760304.044033214,9919298.044228032,0.0,0.0,29.35742,10.060656,True,True,838.9907605014741,11.017266061529517,1.2851990372873843,1.0910675262100995,43,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-890e177f-7f02-428b-aea5-2ed92ed5c109,0
8.56,0.78,0.0,9.34,380707.96429543686,1.126567911291707e+20,75203.31202816025,1697436.9761724866,0.04430403784282733,6472926.890200033,13614316.566283878,0.001398,0.002394,28.667396,8.469419,True,True,990.9228910692036,7.728920790553094,1.0112548265606165,0.8494475811719895,56,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-73d49ef4-dbe2-489f-8c06-7b7fe35ef9ff,0
8.7,0.67,0.0,9.37,38385.121717628244,1.1406925530736247e+20,337137.0388239914,1797496.2824962111,0.18755924121067105,4809188.182009545,5726695.016558089,0.002991,0.002394,47.792669,15.594242,True,True,821.6423788107932,6.11395009830594,1.21668071905151,1.4603118602186442,52,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-433af9f0-4e9f-4a2a-93f9-0b2b634c24dc,0
9.38,0.83,0.0,10.22,0.0,3.73171827134386e+19,66398.03039119398,312795.28421092476,0.21227311837099286,3518369.0225546,3195829.5513348537,0.0,0.0,38.827202,13.323186,True,True,563.1415117532015,10.820730052515865,1.3135397024452686,1.4395933335646987,57,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-32037fd1-e9e6-4ba5-9a47-96c1847cc3a2,0
10.3,0.59,0.0,10.89,30300.19392062931,1.0417569825660396e+20,125101.27206043027,1624690.464830021,0.0770000654084707,3860339.9237912805,5435497.578984497,0.005964,0.006557,35.615578,11.228985,True,True,718.1721637025476,5.024452962353825,1.2410091403871775,0.980623852275312,58,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-d81bee91-1aa5-40ca-b375-45da8190d460,0
