sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
6.34,0.5,0.0,6.84,28442.292932597553,1.0489350968826302e+20,198906.37095192756,1608756.0280813284,0.12363986053817734,3960724.8945914153,4776923.300656271,0.004777,0.005964,40.579477,13.074779,True,True,714.0165465416366,5.183999766025959,1.2695519002939695,1.1514815442040849,1,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-1502cc64-af0f-4d7a-939a-8d9db75142e2,0
6.56,0.4,0.0,6.97,2174.5295582423096,7.814708468381758e+19,158064.3446701311,1153272.4538781343,0.1370572444859883,2191831.7708662553,1746487.6778342384,0.010685,0.011662,47.683418,15.412524,True,True,545.3125632357853,3.642398657057811,1.356157126592673,1.238446455140799,7,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-c4270351-95cf-4379-b495-95b7466e33b3,0
4.97,0.66,0.0,5.63,2359.2279114613893,2.4787912932233777e+19,29533.29210581533,215856.5489932407,0.13681906916217831,2621604.128745802,3828142.108399553,0.0,0.0,33.692939,10.397468,True,True,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,25,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-9cd4588f-996a-4861-a426-8a58fd483aa3,0
4.87,0.93,0.0,5.8,20735.169904749906,5.651071919090359e+19,104157.04378135734,630975.5853431281,0.16507301740481156,4605573.258369651,5631481.476152993,0.0,0.0,40.202485,12.568853,True,True,688.5387313304253,9.965850342153107,1.0216713785722846,1.3321646346570892,33,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-6079ecf5-48fb-46a0-99e1-440de068af32,0
17.66,0.91,0.0,18.56,399946.25066691847,1.0498092835575903e+20,73234.4324928534,1379200.5633720756,0.05309918980441751,7592357.692329571,14654452.417188214,0.0004,0.000999,24.338299,7.771589,True,True,966.3454199047862,8.756516359836198,1.231743052868032,0.8321863983622646,38,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-574a7000-1dfb-4a6f-8abb-8ba3b3c9ca27,0
17.88,0.86,0.0,18.74,75894.40442214024,1.2813188115526394e+20,81381.02230660549,1812024.1304281638,0.04491166587686442,6273263.385459721,10683640.393486153,0.004182,0.003388,25.330214,8.773357,True,True,865.4383978376752,6.130405535242926,1.462812431927193,0.8023884458695619,2,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-c601653c-9110-40ec-b36a-508d19b7ebe2,0
4.87,0.78,0.0,5.65,9143.979175511737,4.792453865521052e+19,8661.091542564674,515891.2578885832,0.016788599167220638,2440206.464890188,3033578.6026484966,0.002394,0.0004,26.321662,7.398401,True,True,508.83177485689174,5.2429299894450185,1.2751363505030928,0.8499046939216117,9,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-8405ab20-4934-49b9-a966-b215ae7dca4a,0
8.06,0.7,0.0,8.75,338114.05011269543,7.383163259456365e+19,61419.3568390419,856906.7673889032,0.07167565851556289,6338709.144835373,12172595.20978553,0.0004,0.0,21.469884,7.464639,True,True,863.1984498574274,9.980673173097,1.4283518317061337,0.8476013770109685,57,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-c546e170-8332-4c86-89b0-2fb0184d1b6f,0
5.78,0.58,0.0,6.36,50239.79540212908,1.2636961767365406e+20,356721.4181380814,1777376.4915761256,0.2007011006552423,6547529.4033541195,6807529.942482626,0.001797,0.0002,41.573103,15.153242,True,True,847.7502954927652,7.208753941349769,1.4893712080573747,1.4062608661684184,65,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-fdf0db53-ec96-4a38-bce0-30e172d1c8a8,0
6.93,0.76,0.0,7.69,58569.57173846641,8.568132090747558e+19,52996.40988059853,1137918.900871464,0.046573099225271454,4548828.060002925,7338516.461460845,0.000799,0.001996,28.182941,8.442495,True,True,722.471450468278,6.4026685928960125,1.1847801618402019,0.8446967730928465,62,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-3c100e06-ca13-4844-b187-d528af3ebcbb,0
