,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
381,True,35.384767,9.96859,0.00833,0.009509,0.1233851035435994,36.98549451033274,637.4125253775335,4.500853273556225,1.0937968409697456,0.8593681138650342,165,/tmp/ShineRunner-d11a6fdd-12d8-49a2-917f-0951e6a8f408,0
382,True,52.836101,16.42002,0.023628,0.021718,0.1882429043451945,36.99045122067134,760.1375573702845,4.119429807360881,1.157225345872101,1.386167653641548,126,/tmp/ShineRunner-0a59ca65-fd67-44b7-93c1-64ff97fb9eb0,0
383,True,45.390801,15.381602,0.109687,0.088921,0.0929964224497477,37.00501066446304,940.190150063846,2.9592818176900515,1.3108960149303783,0.9912310340506134,204,/tmp/ShineRunner-237b8928-92e9-4f04-8d69-7102159ade72,0
384,True,39.986305,12.954589,0.073388,0.066642,0.3253717223803202,37.001701072851816,979.6661738178042,3.4710844833117185,1.2477532783143093,0.8774844518207313,226,/tmp/ShineRunner-cfdd05c0-b705-4807-be5b-6dcc5c9674c7,0
385,True,37.06728,12.140889,0.016135,0.012053,0.0930016080538431,37.00404901901881,517.4191751399578,3.469933468449764,1.4115636587080933,0.9176005940045098,290,/tmp/ShineRunner-8bb87bca-6c3f-4f97-99ac-00e0c3110996,0
386,True,54.659607,16.283814,0.133299,0.133899,0.2226382414499918,37.0240222175916,527.7839584534389,1.8346903189880857,1.1670650202507729,0.9210961116341156,128,/tmp/ShineRunner-9a502478-5a6e-48d5-8e10-548e29ba0305,0
387,True,40.376072,13.831204,0.011272,0.01088,0.0697058757146199,37.028396209081016,776.49653262645,4.719015942089234,1.390150746954696,1.1355586948871783,95,/tmp/ShineRunner-94f3c1da-557e-4139-bf5d-c21c458a243b,0
388,True,48.791898,17.852942,0.106185,0.093217,0.1627365032831828,37.02761010726293,888.6715637645893,2.754678863994386,1.492770084747463,1.1254814193355571,155,/tmp/ShineRunner-5659231d-ab58-4a5c-90f2-4a45aaa9a632,0
389,True,42.020162,12.525159,0.03363,0.023819,0.1638322552045186,37.027695989608766,869.715734238255,4.123835005269181,1.0244818549116397,0.9641746053089092,160,/tmp/ShineRunner-153912cc-5843-4dcb-a401-352ab1b29521,0
390,True,44.273875,15.943324,0.093875,0.078341,0.1763610164324442,37.09976840416591,954.776121935675,3.183345338362715,1.425137149416861,1.0384135569140671,144,/tmp/ShineRunner-7781ca5d-92c8-478e-aa29-9d41308a4bdf,0
391,True,48.387571,15.073252,0.037721,0.033069,0.1580685933430989,37.09950993061066,914.7143074413682,4.105995188630712,1.1163203709832168,1.1715387134193374,360,/tmp/ShineRunner-dceb19ca-6b9c-4462-8a80-619f5ebceab9,0
392,True,41.48578,14.835853,0.018838,0.014196,0.1529419223467508,37.095361828804016,868.3528442411101,4.500172701584314,1.4605285986475958,1.1525430476281695,425,/tmp/ShineRunner-68c77ffe-8aaa-4d55-a4fe-7dd3597e6531,0
393,True,35.734885,10.775461,0.009901,0.009116,0.2395339608192443,37.16303154230118,736.391986379499,4.780268816347523,1.171356821377478,0.9240648508744908,253,/tmp/ShineRunner-f0ac1d65-d1df-4256-afef-73b20657d192,0
394,True,45.221722,13.827172,0.019223,0.017875,0.2552209615707397,37.16635864973068,568.6056288953062,3.475575233052031,1.2243647536006252,1.0750427236879518,297,/tmp/ShineRunner-e6803877-6aef-4cbf-adb4-41527f9e1982,0
395,True,54.913376,19.27314,0.145737,0.137187,0.4040342569351196,37.20594651301702,990.0135897770964,2.6176668268173557,1.392040474170704,1.2454858394754438,114,/tmp/ShineRunner-e23ec8ea-001b-4779-8b8f-07c0dc1d1993,0
396,True,53.563903,16.117212,0.021143,0.02076,0.3268264889717102,37.20225390593211,610.398960604467,3.486725068018279,1.1445417908190958,1.314307591546406,599,/tmp/ShineRunner-7a9ee06f-686a-40d4-822f-a4bc5c1029d4,0
397,True,47.68527,16.521581,0.022483,0.018068,0.3530414303143819,37.27171332041423,738.7529368138664,3.950303278009634,1.4516639359820265,1.3044871627028465,150,/tmp/ShineRunner-47ae838a-6836-44a1-a020-0691aebbb96c,0
398,True,44.092027,12.940196,0.007346,0.008723,0.3044538855552673,37.27311142683029,665.3678710274334,4.693692317392262,1.024284644923479,1.1225387236676965,189,/tmp/ShineRunner-5f9e2560-b281-41d5-9c35-ad491e6ae587,0
399,True,48.81502,17.130182,0.017875,0.01536,0.4814240415891012,37.271575065453845,777.730855068882,4.1290630627371865,1.4623508336099444,1.375808163432202,157,/tmp/ShineRunner-f34fad99-3a9d-4ce4-82a6-3c8bfbd67f90,0
400,True,52.078521,16.079825,0.086925,0.079698,0.3009190678596496,37.27348181804021,754.0836779064375,2.753808828631716,1.1665470805053189,1.1019289141025148,186,/tmp/ShineRunner-3f6839ea-62d1-4f75-984b-a9356633e859,0
402,True,58.812297,20.606161,0.297062,0.276097,0.3002660989761352,37.273478507995605,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,185,/tmp/ShineRunner-5277cbc4-7b7e-468f-a700-8b32f4ec2c0b,0
403,True,60.715399,17.38001,0.084249,0.079868,0.3029088775316874,37.2735622326533,555.8001841246133,2.291819263155684,1.030264225413268,1.2887328079269391,183,/tmp/ShineRunner-d0e6b7a7-607e-404e-8c05-1755bd58186c,0
404,True,68.220953,19.76755,0.180597,0.161777,0.5955276687939962,37.27250534296036,582.6556616836456,1.7143240873608685,1.0801560124911291,1.396353210456359,231,/tmp/ShineRunner-9a0964c6-d2f9-491b-862f-bfe615bb106a,0
405,True,43.496809,15.23154,0.038462,0.034376,0.1745004892349243,37.286921219031015,994.3019492597882,4.200554622296997,1.3708073163657577,1.128131507909767,245,/tmp/ShineRunner-40d5269f-892e-482a-9371-a82bec009e2d,0
406,True,41.940582,14.034082,0.005964,0.005569,0.2035106658935546,37.30332590738932,573.4318674107021,4.387524283930359,1.4115623049750474,1.1772592363849308,291,/tmp/ShineRunner-803c466b-aaa3-4fc1-b4ea-a96d3a656595,0
407,True,44.847625,12.9259,0.00892,0.013418,0.4556936224301656,37.31702057123184,569.1645350580246,4.007077965205426,1.0578520836547147,1.0730438131095703,276,/tmp/ShineRunner-de13ace1-b01f-473f-b68a-358a7eeb8140,0
408,True,32.938595,9.22938,0.009116,0.006162,0.2360855023066203,37.332299721241,753.6463507910216,4.963807694086327,1.0020038023666695,0.8116058613282899,202,/tmp/ShineRunner-5109a1cb-eb37-48b3-99b1-c96519325894,0
409,True,60.350769,19.062263,0.104424,0.090413,0.2359710137049357,37.33287789026896,996.5422909652532,3.1724108701903284,1.0634549877592565,1.4281115398278654,203,/tmp/ShineRunner-dc04edf7-3ed6-479e-ab59-bc6764ad67c3,0
410,True,57.777737,20.463099,0.210485,0.177496,0.2362640539805094,37.33295689821243,869.2901932286914,1.9954739529719068,1.4450097285588477,1.2156813836199134,200,/tmp/ShineRunner-f6a1019a-a6ef-41f3-9ac9-3396fdb6ffcb,0
411,True,41.734591,12.899155,0.005964,0.002792,0.2373977263768514,37.33330266873042,506.2349389706066,4.102525647765665,1.260115033522997,1.0855730012523956,210,/tmp/ShineRunner-74df7009-f080-42b9-a8e8-4cc6560e7a07,0
412,True,45.26719,14.048936,0.025721,0.023247,0.2374421795209249,37.33351407051087,929.4914302788568,4.615364074224497,1.1060737037616506,1.1288606217223796,213,/tmp/ShineRunner-1db80644-f2b6-470a-bc97-ef353b6610b8,0
413,True,43.270078,13.927869,0.016329,0.01439,0.2372533003489176,37.33367407719295,879.211118592377,4.927035134368926,1.2096361939504026,1.1602081363198715,209,/tmp/ShineRunner-d93ba959-fd05-4dc2-a094-6e9174a0698a,0
414,True,61.66149,20.802216,0.285306,0.26384,0.237154730161031,37.33387605746587,936.9442489519008,1.7161238288720453,1.3053850666177091,1.187478588062728,207,/tmp/ShineRunner-9c3b68b3-6d54-403a-a00f-fc6000e21a1a,0
