,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
770,True,56.216284,16.258922,0.218994,0.210859,0.0405387679735819,29.45933287938436,633.4198820404708,1.5955439299345016,1.0312291085720062,0.822776706609875,823,/tmp/ShineRunner-d9ecf5b9-03eb-4f35-ae2a-a15e1b75f6fa,0
772,True,65.190934,22.802764,0.190152,0.168468,0.0333718419075012,24.72705295880636,553.0072660185397,1.5075717601925134,1.4998565423302352,1.3137877680361272,1035,/tmp/ShineRunner-96666e53-fa13-45a8-84ba-43dbb1e6874c,0
773,True,37.285801,13.141226,0.069421,0.068381,0.0301830808321634,25.027015630404158,930.5347832851112,3.29317536726594,1.4408500120043757,0.8517541363835335,866,/tmp/ShineRunner-79784855-beb1-4382-9d55-177b780cc633,0
774,True,35.950957,10.511531,0.024009,0.026101,0.0314589540163675,24.87813999255498,794.3873265758157,4.169426035508514,1.1286735790781677,0.832620897050947,846,/tmp/ShineRunner-56956c4f-9cbb-435d-b362-9377869e5bb3,0
775,True,41.993401,12.779984,0.042146,0.049971,0.0488852063814799,24.89626491467158,989.8992371745408,4.1023759912699465,1.0553376423195004,0.9444377457723022,1034,/tmp/ShineRunner-a95ea41d-db4e-482f-89d4-9f0dad743c03,0
776,True,43.127807,14.156745,0.004579,0.002792,0.0781799872716268,24.92689546744029,584.0405593626201,4.465309051424265,1.3632384380325675,1.2065445667132737,1036,/tmp/ShineRunner-6c587885-7b13-4b88-91af-2e2268e192c9,0
777,True,58.571392,18.616947,0.115827,0.119098,0.0256638526916503,27.40766721566518,549.2957448586822,1.9353080466389656,1.3065518834628165,1.1586693588644266,907,/tmp/ShineRunner-d7e06acc-51ff-4d18-a8fb-17a1aff8c478,0
778,True,65.454553,21.206767,0.237107,0.218384,0.0250555078188578,32.310630373160045,810.4385370388627,1.7472323589026928,1.268773936200887,1.3400875605642797,721,/tmp/ShineRunner-310226f7-3570-4eaa-acab-1a5dcf4753c2,0
779,True,62.970767,20.055414,0.125568,0.126638,0.0212365349133809,32.825598200162254,742.4556785263121,2.2644046299159526,1.253106541465968,1.4383639279752969,175,/tmp/ShineRunner-e93e0762-7ed2-4659-b7ce-42f532ee034f,0
780,True,63.613134,19.553892,0.140746,0.132848,0.048119831085205,29.874645340442655,863.9249349944293,2.468419449776411,1.0457148593850434,1.4000948885455728,825,/tmp/ShineRunner-c2539927-2d7b-4ada-b860-cf7b31c2d319,0
781,True,46.71121,15.078755,0.016909,0.011858,0.0593197107315063,34.84673236211141,874.0595877170563,4.919979747012258,1.2106801713816822,1.2752702170982957,262,/tmp/ShineRunner-dd596357-2b81-4c0c-afd3-f10f8a29b287,0
782,True,41.937991,14.914874,0.007543,0.004975,0.0583670894304911,28.22248057126999,738.1879659369588,4.849335767701268,1.4944962081499398,1.2370278049260377,912,/tmp/ShineRunner-751767c9-f02a-49ea-b207-2338494cadfa,0
