success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
True,63.613679,19.55393,0.149949,0.136591,0.0005981604258219401,23.10182520151138,863.9249349944293,2.468419449776411,1.0457148593850434,1.4000948885455728,57,/tmp/ShineRunner-f7f8307b-06f0-4792-9ab2-6aa16f208677,0
True,55.236334,18.735142,0.118166,0.111743,0.0010270237922668456,23.372094563643138,648.0241543613374,2.1543378051370383,1.4221240961924195,1.172790320776403,23,/tmp/ShineRunner-ce12501d-8f1f-481b-b558-bddc862b16aa,0
True,36.542578,12.585475,0.013028,0.01088,0.0010185718536376953,23.67564364671707,622.5425079464912,3.8801654316484933,1.4565164214000106,0.9698370318859816,28,/tmp/ShineRunner-0b7acc2d-92fb-4948-a65f-234ca31ea917,0
True,71.328613,21.119563,0.51,0.51,0.0007350842157999674,23.81970866123835,958.4829998202622,0.6359684780240059,1.0950499828904867,1.4364838417619468,37,/tmp/ShineRunner-035e24d5-6099-48f4-ba6f-80dc247048f5,0
True,56.153985,17.521451,0.033256,0.029126,0.0014813621838887534,23.852000133196512,770.3917012549937,3.773013820126653,1.1590624153614044,1.4678391885012387,62,/tmp/ShineRunner-616cf2b7-2b0f-4f94-9186-6ecc6e69bcdf,0
True,43.085375,12.866485,0.018068,0.017682,0.0014334678649902343,23.876477038860322,812.0917836204171,4.563871117308736,1.0023672357201576,1.0585318958386778,46,/tmp/ShineRunner-e919f223-9fb0-42a1-8803-e206d97a442d,0
True,41.134964,13.918132,0.045619,0.043245,0.0004426717758178711,23.97452965974808,916.2339898757637,3.7236550167202953,1.3151917564682662,0.9956700188107789,2,/tmp/ShineRunner-77eac58e-c560-49d3-8cf7-1959442130f0,0
True,52.709629,17.126888,0.012248,0.011662,0.0005983869234720866,23.97573651075363,652.5359470397234,4.132184377312661,1.3214803654700518,1.4971274023875594,40,/tmp/ShineRunner-59d82898-82d2-420a-97f8-c643fdf4c1a3,0
True,43.127807,14.156745,0.005767,0.003388,0.0006377180417378743,23.990689861774445,584.0405593626201,4.465309051424265,1.3632384380325675,1.2065445667132735,12,/tmp/ShineRunner-8ab8df16-5041-410b-a43a-01575354e4b9,0
True,55.763248,15.789717,0.020184,0.01536,0.00044701099395751955,24.915056486924488,509.3979989178479,3.326309207454324,1.0093957199715078,1.4342080307193101,4,/tmp/ShineRunner-0324adf3-a2b3-4c9d-989e-4bc1084825c5,0
True,56.215284,16.257666,0.222758,0.218506,0.002154636383056641,25.113419047991435,633.4198820404708,1.5955439299345016,1.0312291085720062,0.822776706609875,55,/tmp/ShineRunner-1b1c579a-90d7-4773-9ff7-0cc79b44dea4,0
True,46.266242,14.638355,0.113318,0.106664,0.0004402041435241699,25.32686052322388,800.9843216277659,2.5473861984908583,1.2452388433739543,0.9098316362127662,17,/tmp/ShineRunner-26c74462-7aa6-4efb-8673-c6492fc133ce,0
True,36.565452,12.298271,0.001996,0.001996,0.0003416895866394043,26.08059276739756,522.0460505224764,4.9503283895552155,1.412249602843076,1.0842203045263887,36,/tmp/ShineRunner-0cd2c7f7-6938-4528-b942-4abe70423790,0
True,39.553888,11.582182,0.058026,0.053747,0.00039341449737548826,26.435572405656178,832.504406105727,3.4426990289241077,1.1163989077322185,0.820180457085371,22,/tmp/ShineRunner-8fa4274d-a4b0-4a94-a582-5aa1689669cc,0
True,42.668107,13.712282,0.01536,0.014001,0.0011462688446044922,26.81682206392288,761.6465617902577,4.366182129830122,1.2630406701937318,1.1178374289534987,30,/tmp/ShineRunner-062243f2-eb6e-4778-bd74-f26c4b243bad,0
True,75.689569,23.113328,0.51,0.51,0.00039812723795572914,27.465304295221966,565.0782715529203,0.9530440427362918,1.0363632263615727,1.0680833057500423,19,/tmp/ShineRunner-32f8bcbd-af0a-442c-87c6-8541224ea612,0
True,49.187432,17.55631,0.016135,0.011076,0.0004333337148030599,27.77807822624842,876.2676231563091,4.647789527475834,1.4709946545772254,1.4487125414423645,18,/tmp/ShineRunner-9f400c79-e7d7-423a-bf83-1e46ee846d25,0
True,56.260169,19.209875,0.072356,0.061209,0.0004241029421488444,27.84029678106308,781.8312859162688,2.888288902491331,1.4197664866223931,1.408544170949608,14,/tmp/ShineRunner-a7b5a039-301d-44d9-879e-dd740f0a8111,0
True,74.652785,24.835842,0.51,0.51,0.0007055123647054036,28.184949040412903,792.2121216543019,0.9232322473078967,1.3326575551182032,1.2598353789187968,49,/tmp/ShineRunner-2cb08277-c388-4efe-8d08-7ff948414130,0
True,81.174072,26.235396,0.51,0.51,0.0003079414367675781,28.228006048997244,502.19118501991034,0.7623588062822819,1.2352767386473715,1.1974123385734856,59,/tmp/ShineRunner-0bcb0d12-84f7-48c8-bc51-5214377c75d2,0
True,41.993372,12.779927,0.045255,0.043977,0.0022251725196838377,28.646640769640605,989.8992371745408,4.1023759912699465,1.0553376423195004,0.9444377457723022,10,/tmp/ShineRunner-7ced7219-20a8-463e-91cf-fddb63e266d6,0
True,54.517839,17.366939,0.096168,0.092229,0.0008052587509155273,29.382765555381773,967.6412297412753,3.1777797710150484,1.1485886992886662,1.233097417280078,26,/tmp/ShineRunner-d74e785b-1b80-4b4b-b148-7f8d72ea1d78,0
True,33.49598,11.006411,0.019031,0.016522,0.00046645402908325196,29.42209493716558,939.2768712714314,4.836303509771824,1.304307583719492,0.8830784677527845,58,/tmp/ShineRunner-74f9e149-9259-40f8-802e-67e0391686f4,0
True,68.321574,20.923181,0.316473,0.312242,0.0006576736768086751,29.531086667378744,780.5186668410897,1.4154645793139935,1.0894247395917773,1.1571322377771138,1,/tmp/ShineRunner-430cc821-8fd8-40d5-832f-0d25f277c931,0
