success,current_drive_A,enbi,nbar,np,hfactor,run_dir,batch_num
True,412433.9667150479,894.8652369099832,5.490578920883548,1.4939245696136725,1.408890635832076,/tmp/csv_runner-6da3556c-5bf6-433f-b19c-f877d2a92c71,6
True,413091.9990085161,894.8652369099832,5.490578920883548,1.4939245696136725,1.408890635832076,/tmp/csv_runner-7ae5e3a7-7431-4182-83e7-a5b2f17ae886,6
True,411449.15945751447,894.8652369099832,5.490578920883548,1.4939245696136725,1.408890635832076,/tmp/csv_runner-19c0757e-cbbc-4978-909f-2460461642c7,6
True,411870.8385002535,894.8652369099832,5.490578920883548,1.4939245696136725,1.408890635832076,/tmp/csv_runner-6fe3fbd0-b5af-4061-ac6b-751673224bd7,6
True,417349.71146499366,894.8652369099832,5.490578920883548,1.4939245696136725,1.408890635832076,/tmp/csv_runner-255ce017-3196-479c-b2d0-64d9f72fbb7d,6
True,6291.897208506244,526.3851622507907,3.9156573519550513,1.04330403628248,0.8507774637403595,/tmp/csv_runner-d7e2d094-8dc1-452b-b8ba-8efc15259bbe,7
True,6301.119162740668,526.3851622507907,3.9156573519550513,1.04330403628248,0.8507774637403595,/tmp/csv_runner-3b592b60-ec5d-4b93-98a3-f0bc8235fff0,7
True,6300.808132705588,526.3851622507907,3.9156573519550513,1.04330403628248,0.8507774637403595,/tmp/csv_runner-021c2dce-160e-4d81-a827-b37ed2f6e26d,7
True,6339.181326364525,526.3851622507907,3.9156573519550513,1.04330403628248,0.8507774637403595,/tmp/csv_runner-0b3ae886-3ca3-4ed0-b645-666b5aff924a,7
True,6307.08087920606,526.3851622507907,3.9156573519550513,1.04330403628248,0.8507774637403595,/tmp/csv_runner-a13ea82c-5631-4d13-b215-5c7184f83ec1,7
True,75485.18981599815,980.4890549018204,11.435838111298544,1.4728036361917511,0.8545260410405264,/tmp/csv_runner-bbbf60e4-02cd-47a9-9e29-43f56b5d1496,8
True,75347.43485398135,980.4890549018204,11.435838111298544,1.4728036361917511,0.8545260410405264,/tmp/csv_runner-a939765c-0ba6-4ca7-b767-d8d76755d32c,8
True,77068.89272659582,980.4890549018204,11.435838111298544,1.4728036361917511,0.8545260410405264,/tmp/csv_runner-c77e87e3-e88f-494e-81db-30e74de1ca18,8
True,74975.42025212207,980.4890549018204,11.435838111298544,1.4728036361917511,0.8545260410405264,/tmp/csv_runner-6414a8eb-9e3c-4a1c-b517-b6a35700d38a,8
True,74781.11956441353,980.4890549018204,11.435838111298544,1.4728036361917511,0.8545260410405264,/tmp/csv_runner-82ffd569-bca3-409a-b43c-13ea0f8f93f3,8
True,123807.31857430578,505.5562890207176,4.631661644047777,1.0604004604935136,1.4582410295709298,/tmp/csv_runner-fd826448-c328-4b0d-a82f-6752083db7c3,9
True,125375.1357922477,505.5562890207176,4.631661644047777,1.0604004604935136,1.4582410295709298,/tmp/csv_runner-903088ac-b3d1-4784-887f-54ef26fbac4d,9
True,125527.47496755076,505.5562890207176,4.631661644047777,1.0604004604935136,1.4582410295709298,/tmp/csv_runner-7ca223db-11f2-4eb3-acf7-efbb70432e29,9
True,124567.03740455573,505.5562890207176,4.631661644047777,1.0604004604935136,1.4582410295709298,/tmp/csv_runner-2f65ed74-76e3-4435-bd0c-fc02cea49b09,9
True,125960.4666465259,505.5562890207176,4.631661644047777,1.0604004604935136,1.4582410295709298,/tmp/csv_runner-36e2ae08-7e86-43e3-8c26-92aa8f2ba749,9
True,29533.29210581533,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,/tmp/csv_runner-e9f4defa-3ae6-45d5-8b26-9e0f748e4313,10
True,28853.98484860521,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,/tmp/csv_runner-4110ce0b-f55e-4e4b-b43b-02f9abc430ce,10
True,29571.42503677491,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,/tmp/csv_runner-8ed4dfa9-5408-42fc-b429-2a88dd511913,10
True,29168.27094833071,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,/tmp/csv_runner-563ba43e-0896-4993-9cb4-4235960103f4,10
True,30116.000432801124,563.3832365317588,11.560032226778468,1.0018873763199418,1.1759782651752757,/tmp/csv_runner-646ef8cd-1efb-4d89-9f8f-ac83bfefc8bd,10
True,252408.4634406152,982.9762300019285,3.601030930468744,1.0926654438986214,1.4295315144423966,/tmp/csv_runner-49c19c45-14b6-4720-bbe6-c7ebc6d5ce56,11
True,249787.527646256,982.9762300019285,3.601030930468744,1.0926654438986214,1.4295315144423966,/tmp/csv_runner-e99eeb24-ba61-4749-b9e7-86024b1bed80,11
True,249444.4129281764,982.9762300019285,3.601030930468744,1.0926654438986214,1.4295315144423966,/tmp/csv_runner-eda58eed-b8fe-414e-adfe-4f38290eed58,11
True,250637.16254097855,982.9762300019285,3.601030930468744,1.0926654438986214,1.4295315144423966,/tmp/csv_runner-03815eb3-bce7-41a6-9276-970ff0933f5a,11
True,245863.83773456048,982.9762300019285,3.601030930468744,1.0926654438986214,1.4295315144423966,/tmp/csv_runner-df0abdc9-1987-401d-bd79-602eb88b1bab,11
True,-1194.475215521587,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,/tmp/csv_runner-cc336a45-dae1-4470-8653-dc6a82d43b03,12
True,-1184.6459522962482,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,/tmp/csv_runner-849a2d19-10bc-4694-be69-545fc70d97fd,12
True,-1173.302831193977,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,/tmp/csv_runner-6bb4702d-7e8c-4ec4-8c40-b6d4b2c8319a,12
True,-1172.95490353221,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,/tmp/csv_runner-f55a3144-c911-4300-9c50-4b1203285568,12
True,-1191.1425345159114,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,/tmp/csv_runner-2f91f053-1204-4d68-9549-c9361f78d36d,12
True,66806.03774434916,999.295584371909,8.422017949008193,1.0527455589291363,0.8411731039903316,/tmp/csv_runner-ee54e673-4949-4e7c-9f4a-8fa9922a812f,13
True,66957.28031839716,999.295584371909,8.422017949008193,1.0527455589291363,0.8411731039903316,/tmp/csv_runner-dd8fe65c-6523-4a15-8f68-ee4fa48be9b3,13
True,68589.5344082896,999.295584371909,8.422017949008193,1.0527455589291363,0.8411731039903316,/tmp/csv_runner-2f585cf8-76f3-4284-8347-d1b4f2197989,13
True,67871.22046868011,999.295584371909,8.422017949008193,1.0527455589291363,0.8411731039903316,/tmp/csv_runner-dde01dbe-bc33-4a66-9ee4-bce0068fc325,13
True,68048.18818297642,999.295584371909,8.422017949008193,1.0527455589291363,0.8411731039903316,/tmp/csv_runner-a8bed927-d278-4dab-8ccc-efb4b4a893ec,13
True,206318.89040284432,866.6716170385608,11.521630304519975,1.4919687151100318,1.3329972904086698,/tmp/csv_runner-271e3994-5e44-471c-94dc-931d16da4208,14
True,211999.04648985757,866.6716170385608,11.521630304519975,1.4919687151100318,1.3329972904086698,/tmp/csv_runner-8299f7d4-3403-4de1-8770-07d582b5972b,14
True,208706.5897902044,866.6716170385608,11.521630304519975,1.4919687151100318,1.3329972904086698,/tmp/csv_runner-81f38fa0-a376-4282-bea4-ce2b06b757a7,14
True,205545.62169159923,866.6716170385608,11.521630304519975,1.4919687151100318,1.3329972904086698,/tmp/csv_runner-218bdbe9-8370-4926-b069-d3b5a8a3c21f,14
True,210564.3800404255,866.6716170385608,11.521630304519975,1.4919687151100318,1.3329972904086698,/tmp/csv_runner-1f2db33b-b84a-429b-ab79-309335c38e23,14
True,190723.72255089824,968.6164786926946,3.684704507627288,1.434011465298235,1.017809299643721,/tmp/csv_runner-0ea70806-cb81-4a43-97ff-bf2e9a306015,15
True,189292.0245772342,968.6164786926946,3.684704507627288,1.434011465298235,1.017809299643721,/tmp/csv_runner-ca7bf686-8792-4cc8-9fd9-f83ea5293bd5,15
True,189584.500047246,968.6164786926946,3.684704507627288,1.434011465298235,1.017809299643721,/tmp/csv_runner-475d8e97-738a-405c-ab29-4a1c9c9e3de0,15
True,189357.9795223032,968.6164786926946,3.684704507627288,1.434011465298235,1.017809299643721,/tmp/csv_runner-e56d45ba-8121-40d2-9ccc-29beda6a6d6a,15
