sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
7.17,0.21,0.01,7.39,106802.7103548515,8.921677845639666e+19,136361.80530272826,5669352.995174854,7583480.429223943,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2219,/tmp/ascot_sdcc_workflow_runner-f7312108-dcd7-4605-8de9-1d85685c2fdb,11
8.34,0.22,0.01,8.56,71207.03145630473,8.8743311015692e+19,137999.8946688198,5670254.942808243,7841409.209136428,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2199,/tmp/ascot_sdcc_workflow_runner-44397999-bb96-47cf-b658-3700553d4de5,11
10.37,0.27,0.01,10.65,88998.82796787274,8.814465667347882e+19,129913.25938607805,5621218.292975772,7913092.6283372,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2189,/tmp/ascot_sdcc_workflow_runner-2b249e38-8b95-451a-a5f7-7a706cd7d1e5,11
5.23,0.22,0.01,5.46,0.0,8.79570329871698e+19,138728.45336453046,5655657.983074643,7515784.953786596,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2269,/tmp/ascot_sdcc_workflow_runner-d533c019-6919-40bc-9a9a-4e56a92732e5,11
5.49,0.21,0.01,5.72,17803.746264829373,8.881425834703058e+19,133579.91946213186,5661918.92470362,7661805.122629643,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2239,/tmp/ascot_sdcc_workflow_runner-c89d54de-8f42-43ed-aaab-5f2e36b75f89,11
16.14,0.24,0.01,16.39,17803.954060070657,8.908409636804221e+19,140744.2257310291,5726761.126983206,7769868.383069084,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2229,/tmp/ascot_sdcc_workflow_runner-5f2d44ce-32f0-4436-9a30-7e7467aacb84,11
7.5,0.39,0.01,7.9,53404.125488245045,8.99903839375109e+19,141541.5719702953,5782523.669698256,7707286.548096124,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2259,/tmp/ascot_sdcc_workflow_runner-4740f521-bb4e-4b03-979a-8fb3d958f4c3,11
12.86,0.21,0.01,13.08,35602.16822392348,9.057611726638843e+19,141849.5546464294,5808659.152594077,7871033.028278056,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2249,/tmp/ascot_sdcc_workflow_runner-6f7a1717-3dcb-4cdd-8589-7899fbd9a72d,11
7.39,0.21,0.01,7.61,88914.75703048379,8.828773474555457e+19,134509.5549268398,5635456.315858551,7895299.103255958,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2279,/tmp/ascot_sdcc_workflow_runner-d6502cb6-8a81-4ae7-bbfb-130d53760c38,11
28.72,0.22,0.17,29.11,106795.75306331704,8.79196208650086e+19,136807.4556756439,5615621.949316666,7766232.005268321,True,781.1012374099279,7.972076395987758,1.1571065369897822,1.165853608533115,2209,/tmp/ascot_sdcc_workflow_runner-fecf9168-7e06-4904-bc9b-c7290cade8e2,11
