success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,bbnbi_n_markers,index,run_dir,batch_num
True,64.165598,20.526499,0.254177,0.249812,0.0018066088358561197,6.824348815282186,10000,73,/tmp/ShineRunner-f7b43eff-fee5-4576-b6e2-c27bfddac8f7,0
True,64.165598,20.526499,0.230769,0.213836,0.0014155228932698567,6.761404351393382,1000,17,/tmp/ShineRunner-1a1e6ca4-b6b1-4d5d-bc79-21dfc56abfca,0
True,64.165598,20.526499,0.254177,0.238153,0.0012444257736206055,6.817981290817261,10000,33,/tmp/ShineRunner-98970ab8-d85f-4a60-a687-8af00c6f8361,0
True,64.165598,20.526499,0.252169,0.242654,0.0005392471949259441,6.876401694615682,10000,63,/tmp/ShineRunner-95f6a929-8380-45b7-aed5-2bf31acb5cdb,0
True,64.165598,20.526499,0.247668,0.248911,0.0004925847053527832,6.869702088832855,10000,43,/tmp/ShineRunner-55e3dd39-da33-41d5-8b80-2b2128acb6f1,0
True,64.165598,20.526499,0.255177,0.248911,0.0014068047205607096,6.83937429189682,10000,103,/tmp/ShineRunner-eeb46471-7fcb-40d0-a59c-2e3ed95e74e1,0
True,64.165598,20.526499,0.254732,0.245511,0.0016497135162353515,6.891543932755789,10000,53,/tmp/ShineRunner-dc978c23-d138-4ad6-9660-16ad04569df2,0
True,64.165598,20.526499,0.25893,0.244827,0.0014297644297281901,6.856447728474935,10000,3,/tmp/ShineRunner-5f71ce5e-4bef-4b91-9aed-61f86f198446,0
True,64.165598,20.526499,0.248346,0.237572,0.000947113831837972,6.819259591897329,10000,93,/tmp/ShineRunner-10a56f7e-89fa-4d1e-a55b-109b61763a67,0
True,64.165598,20.526499,0.249925,0.238153,0.0011124809583028157,6.860488601525625,10000,83,/tmp/ShineRunner-15533fac-1ef4-49ea-9385-bb3059374dc6,0
True,64.165598,20.526499,0.25838,0.226246,0.0009846170743306479,7.022499036788941,10000,13,/tmp/ShineRunner-085fe112-690f-46f8-8389-43e554a95b5a,0
True,64.165598,20.526499,0.246988,0.251945,0.0007894555727640788,7.023075723648072,10000,23,/tmp/ShineRunner-3a78cc19-201c-44f2-800b-8003706a7e6c,0
True,64.165598,20.526499,0.252359,0.241436,0.0011801044146219888,14.043943234284718,100000,44,/tmp/ShineRunner-64402319-6874-4df9-904c-5f502c7a77c4,0
True,64.165598,20.526499,0.254521,0.243925,0.0014457345008850099,14.046075065930685,100000,34,/tmp/ShineRunner-a8b2cf06-612b-4934-b301-a923ecb7f6e3,0
True,64.165598,20.526499,0.255753,0.240606,0.0011063575744628905,14.043335847059886,100000,64,/tmp/ShineRunner-6ebea885-4f60-4eb2-a0fc-573ec79d85f5,0
True,64.165598,20.526499,0.252247,0.242631,0.0008828322092692058,14.138608622550965,100000,4,/tmp/ShineRunner-784b1d25-4489-44d0-b700-48e81fdbbb41,0
True,64.165598,20.526499,0.252023,0.241999,0.0019333402315775553,14.039980943997701,100000,74,/tmp/ShineRunner-7c474533-2bae-43b4-a932-647d8b35b28c,0
True,64.165598,20.526499,0.252359,0.241436,0.0011057138442993164,14.045416676998139,100000,84,/tmp/ShineRunner-d2d89ea1-cd2a-45e4-8f97-b95ddd934859,0
True,64.165598,20.526499,0.254521,0.243925,0.0013906478881835938,14.130514522393545,100000,54,/tmp/ShineRunner-9a51c0d4-585a-4c98-9561-336af681692b,0
True,64.165598,20.526499,0.25421,0.239856,0.00155486265818278,14.12295910914739,100000,104,/tmp/ShineRunner-3e837d61-16c8-47bb-a647-733e62408e00,0
True,64.165598,20.526499,0.252571,0.244234,0.001236875851949056,14.205747254689534,100000,94,/tmp/ShineRunner-27fad063-48f4-40cd-9e5a-a3d8672ee964,0
True,64.165598,20.526499,0.252023,0.241999,0.0014106671015421549,14.304805878798167,100000,14,/tmp/ShineRunner-f618fe8a-b5ee-4c88-ae36-baf30340ad4b,0
True,64.165598,20.526499,0.253887,0.242791,0.0004121144612630208,15.27174102862676,100000,24,/tmp/ShineRunner-be17eb5c-9f28-456c-8206-e3d27b0171cf,0
True,64.165598,20.526499,0.242424,0.253731,0.0010190248489379884,4.901077612241109,100,121,/tmp/ShineRunner-4c156b4b-7692-4403-9966-1e0e85700e2d,0
True,64.165598,20.526499,0.180328,0.230769,0.0012467424074808755,4.979952239990235,100,111,/tmp/ShineRunner-c4e5d6cc-f2e0-44bd-bd3e-ca39f63b6faf,0
True,64.165598,20.526499,0.324324,0.264706,0.0009236653645833333,4.975610681374868,100,116,/tmp/ShineRunner-ab09641d-8891-46e2-bd3f-e3d84dd709db,0
True,64.165598,20.526499,0.444444,0.375,0.0015968004862467447,4.989323822657267,10,115,/tmp/ShineRunner-76546c03-b0a8-4d72-b571-052120fd1e1f,0
True,64.165598,20.526499,0.166667,0.21875,0.0011223753293355305,5.0035208861033125,100,131,/tmp/ShineRunner-6dce413f-9dd1-46e0-a110-d058fcacf17e,0
True,64.165598,20.526499,0.166667,0.285714,0.0009754379590352376,4.999847960472107,10,120,/tmp/ShineRunner-6ed91c2a-d2af-4d66-852d-50365e1bc9e2,0
True,64.165598,20.526499,0.180328,0.275362,0.001173110802968343,5.013967188199361,100,126,/tmp/ShineRunner-399d727f-57b9-4558-b99a-8070a1b5b9d5,0
True,64.165598,20.526499,0.285714,0.166667,0.0012224396069844565,5.00405048529307,10,125,/tmp/ShineRunner-0875d82a-85cc-4fd4-8556-c641ffb80862,0
True,64.165598,20.526499,0.272198,0.246988,0.0005992293357849121,5.013675264517466,1000,117,/tmp/ShineRunner-a9178e25-7a7f-46ab-8424-5b6a792faacb,0
True,64.165598,20.526499,0.0,0.375,0.0008446455001831054,5.042274395624797,10,110,/tmp/ShineRunner-358dfa99-0649-4ece-b160-11f1e5210f68,0
True,64.165598,20.526499,0.285714,0.375,0.0009353876113891602,5.050599102179209,10,130,/tmp/ShineRunner-ec19ca83-fa1e-4b3d-937f-071be3d67fc2,0
True,64.165598,20.526499,0.271137,0.222395,0.0009302894274393717,5.052626355489095,1000,112,/tmp/ShineRunner-6c557f23-cbf2-42de-949a-715a12e9b2f9,0
True,64.165598,20.526499,0.262537,0.266862,0.0005528966585795085,5.115709110101064,1000,122,/tmp/ShineRunner-54c7160c-9662-4cd8-9a73-c284371b48e2,0
True,64.165598,20.526499,0.279539,0.236641,0.0033734877904256183,5.504685946305593,1000,132,/tmp/ShineRunner-bdb15885-550d-48f5-ada6-aee7a67f0f47,0
True,64.165598,20.526499,0.266862,0.242883,0.0004051327705383301,5.999601511160533,10000,113,/tmp/ShineRunner-ab4a07bf-d862-4939-b38b-dbbadb58bce1,0
True,64.165598,20.526499,0.245511,0.246875,0.0008995890617370606,5.988105102380117,10000,123,/tmp/ShineRunner-3901234e-d1d8-45b1-a2ac-0e540aa10595,0
True,64.165598,20.526499,0.253509,0.250037,0.0005982796351114909,6.009593478838602,10000,118,/tmp/ShineRunner-e925d69a-02d8-414a-bcae-0bbe7337f507,0
True,64.165598,20.526499,0.285714,0.285714,0.00048480431238810223,4.956381622950236,10,135,/tmp/ShineRunner-6a69d521-ac91-4942-a4fb-30aeb9aaaad6,0
True,64.165598,20.526499,0.295775,0.21875,0.0005085825920104981,5.041036558151245,100,136,/tmp/ShineRunner-93187d9e-361a-4ef7-b845-ca62c0e9d7a8,0
True,64.165598,20.526499,0.0,0.375,0.0006065090497334798,5.011124595006307,10,140,/tmp/ShineRunner-f1e3b8e3-0c0e-4cdb-b023-a58499445260,0
True,64.165598,20.526499,0.25816,0.242424,0.0005056659380594889,5.020140500863393,1000,142,/tmp/ShineRunner-9d7b745a-8bef-45dd-8196-c48896c6fd22,0
